title,price,ratings
"LENOVO CHROMEBOOK 100E - 4GB RAM DDR4 - 32GB SSD EMMC - 11.6"" SCREEN - PLAYSTORE SUPPORTED - AUE UPDATE 2027","Rs. 14,050",50 Ratings
"LAPTOP Dell 3189 Convertible Chromebook 11.6 inches HD IPS Touchscreen, Intel Celeron N3060 Up to 2.48GHz, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS - FREE LAPTOP BAG - Daraz Like New Laptops","Rs. 13,499",2 Ratings
"Hp Chromebook 11 G6 EE | 4GB RAM DDR4 | 16GB SSD EMMC | Playstore supported | 11.6"" screen","Rs. 9,999",39 Ratings
"Dell Chromebook 11 3180 - Celeron processor - 4gb Ram - 16GB SSD - 11.6"" screen - Playstore supported","Rs. 9,999",2 Ratings
"Apple MacBook Pro 2013 (A1502) 13.3"" Retina Display - Core i5 - 8GB RAM - 256GB SSD Storage - Daraz Like New","Rs. 70,000",No Ratings
"Dell Chromebook 11 3180 | 4GB RAM | 16GB SSD EMMC | PLAYSTORE SUPPORTED | 11.6"" SCREEN DISPLAY","Rs. 8,890",16 Ratings
"DELL ORIGINAL | Chromebook 3100 | 6 to 8 Hours Battery Timing | 16GB SSD Storage | 4GB RAM | 11.6"" FULL HD Display | Playstore Supported | Dual Core | ChromeBook With Free Mouse Gift","Rs. 13,500",No Ratings
HP - EliteBook 840G5 - CORE I5 8TH GENERATION- 16GB RAM - 256GB SSD - Windows® 10 Activated - FREE LAPTOP BAG,"Rs. 72,999",8 Ratings
"Hp Core i5-5th Generation | TOUCH SCREEN | 8GB RAM , 128GB SSD Hard Drive | Ultra HD TOUCH DISPLAY 360 degree revolve | 4Hours+ Battery Backup","Rs. 78,000",30 Ratings
Lenovo/DELL/HP Desktop Computer PC Intel Core i7 4th Gen,"Rs. 24,999",No Ratings
Daraz Like New Laptops - HP Chromebook 11 G5 | 16GB Storage | 4GB RAM | 11.6″ Display | Playstore Supported | Dual Core | Chrome Book,"Rs. 10,999",3 Ratings
Acer C720 ChromeBook Laptop - 4GB RAM / 128GB SSD Storage - Windows 10 Installed - Long Battery Life,"Rs. 21,500",3 Ratings
"Samsung Chromebook 500C | 4GB RAM DDR3L | 16GB SSD EMMC | PLAYSTORE SUPPORTED | 11.6"" SCREEN","Rs. 9,800",3 Ratings
Apple MacBook Pro MKGQ3 (Space Grey) – M1 Chip 8-core CPU 16GB 512GB SSD 14″ Retina LED Display With True Tone Backlit Magic Keyboard Touch-ID (2021),"Rs. 665,000",No Ratings
Acer ChromeBook R11 | Touch Screen | 16GB Storage | 4GB RAM | 360 Rotatable | 11.6″ HD Display | Playstore Supported | - Daraz Like New Laptops,"Rs. 15,999",40 Ratings
"LENOVO CHROMEBOOK 100E | 4GB RAM DDR4 | 32GB SSD EMMC | 11.6"" SCREEN | PLAYSTORE SUPPORTED | AUE UPDATE 2027","Rs. 13,900",44 Ratings
"Like New Laptops - Apple MacBook Air (11-inch, Mid 2010) with Intel Core 2 Duo Processor, (4GB RAM, 128GB) Silver","Rs. 28,999",No Ratings
"Lenovo Chromebook N23 Laptop | Celeron | 4GB RAM | 16GB SSD | 11.6""","Rs. 8,499",3 Ratings
"Dell 3189 Convertible Chromebook Touchscreen, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS - FREE LAPTOP BAG - Daraz like new tablets - Used","Rs. 13,899",No Ratings
Lenovo Thinkpad – X230 – Core i5 3rd Gen – 4 GB RAM – 250 GB – 12.5″ - Refurbished,"Rs. 20,999",56 Ratings
"Dell Chromebook 3189 - 4GB RAM, 16GB Storage, Chrome OS X360 Touch Screen Convertible 2 in 1 laptop","Rs. 15,999",3 Ratings
"LAPTOP Dell 3189 Convertible Chromebook 11.6 inches HD IPS Touchscreen, Intel Celeron N3060 Up to 2.48GHz, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS - FREE LAPTOP BAG - Daraz Like New Laptops","Rs. 13,499",5 Ratings
"Lenovo N23 CHROMEBOOK - Celeron processor - 4gb Ram - 16GB SSD - 11.6"" screen","Rs. 11,000",23 Ratings
Acer ChromeBook R11 - Touch Screen Laptop - 16GB Storage - 4GB RAM - 360 Rotatable - 11.6″ HD Display - Playstore Supported - Long Battery Life - Free Laptop Bag - Used laptop,"Rs. 13,999",No Ratings
"HP Victus 16-D0023DX Gaming Laptop 11th Gen Core i5-11400H, 8GB DDR4, 256GB SSD, NVIDIA RTX3050 4GB, 16.1"" FHD IPS, Windows 11 Home","Rs. 260,000",No Ratings
Daraz Like New Laptops - Lenovo N22/N23 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,"Rs. 8,999",71 Ratings
HP Chromebook 11 G7 EE - 4GB RAM - 32GB ROM - Playstore Supported - 11.6 inch Display - Long Battery Life - PubG Supported,"Rs. 19,500",2 Ratings
"Samsung Chromebook 500C - Celeron processor - 4gb Ram - 16GB SSD - 11.6"" screen - Playstore supported","Rs. 12,500",No Ratings
Hp 725 G3 AMD AID 8th generation,"Rs. 38,000",No Ratings
HP Chromebook 11 G4 | 16GB Storage | 4GB RAM | 11.6″ Display | Playstore Supported | Dual Core | Chrome Book,"Rs. 14,999",No Ratings
Lenovo N22 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,"Rs. 12,500",3 Ratings
Lenovo ThinkPad X230 Core i5 3rd Gen 4 GB RAM 250 GB 12..5″ Windows 10 (Free Laptop Bag) - Daraz like new laptops,"Rs. 21,199",26 Ratings
"HP ORIGINAL USA IMPORT | Chromebook 11 G4 | 8 to 10 Hours Battery Timing | 16GB SSD Storage | 4GB RAM | 11.6"" FULL HD Display | WINDOWS 10 INSTALLED | Dual Core | ChromeBook","Rs. 9,499",No Ratings
"HP ORIGINAL | Chromebook 11 G4 | 8 to 10 Hours Battery Timing | 16GB SSD Storage | 4GB RAM | 11.6"" FULL HD Display | WINDOWS 10 INSTALLED | Dual Core | WITH FREE MOUSE","Rs. 9,599",1 Ratings
"Lenovo IdeaPad Slim 3 Intel Core i5-13420H Turbo up to 3.4GHz 8GB Soldered LPDDR5-4800 512GB SSD M.2 2242 PCIe NVMe 15.6"" FHD IPS 300nits Anti glare DOS Arctic Grey (2 Year Warranty)","Rs. 153,000",No Ratings
"Dell Latitude 7400 2-in-1 14"" | FHD Touchscreen X360 Laptop | 8th Gen | Intel Quad Core i7-8665U | 16GB RAM | 256GB SSD | Backlit Keyboard | Windows 10 Pro","Rs. 94,865",No Ratings
"Dell Latitude E7270 Business Ultrabook: 12.5in (1920X1080), Intel core i5-6Th Gen, 256GB SSD, 8GB DDR4, Windows 10 Pro","Rs. 47,999",No Ratings
"HP EliteBook 840 G3 Ultra Book, Intel Core i5 6th generation Laptop, With 8GB DDR4 Ram, 256GB SSD, 14.1""inch Led Display, Intel HD Graphics","Rs. 64,999",No Ratings
Lenovo N23 Chromebook - 4gb/16gb - with Play Store - Long Battery Life,"Rs. 11,500",1 Ratings
Apple Laptop Screen Protectors Touch Bar 13 Inch,Rs. 703,1 Ratings
